日期,主队,客队,主队进球,客队进球,比分,参考盘口,实际盘口,预测结果,先进球方,sb_λ_主队初,sb_λ_主队终,sb_λ_客队初,sb_λ_客队终,xl_λ_主队初,xl_λ_主队终,xl_λ_客队初,xl_λ_客队终,odds_fingerprint
2026-6-9,法國,烏克蘭,4,0,4:00,-1.0,-2.25,2:00,主队,2.520789018658941,2.724516449957494,0.4988112036337584,0.5378568019626331,2.5638078419864923,2.7164908656438493,0.4758389007805829,0.4809097151699262,f7bea2ad58f20da115acbfdaf6c2814b
2026-6-9,法國,冰島,2,1,2:01,-1.25,-2.75,3:00,客队,2.885823853845512,3.0776187703655844,0.2932793999960735,0.475741355851339,3.029154575788629,3.1988942431328384,0.3721182913633514,0.4391872663080012,faf7cc1ac30b23628f4c4418202cfa0c
2026-6-9,法國,克羅地亞,2,0,2:00,-0.75,-1.75,2:00,主队,1.9994286332077345,2.3169223487884016,0.8622669961078081,0.593304808003797,2.031875936773913,2.269264111577275,0.7736694831796137,0.6058321044938269,505792550522f805bfa1cdbd1f6650df
2026-6-9,法國,以色列,0,0,0:00,-1.25,-2.5,2:00,无进球,2.853325827216906,2.938063199231027,0.5161330976518242,0.4998599381457789,2.837328725067518,2.903724136544653,0.5064004071807988,0.511108295872797,9801443f445073827280bd89c8b5c625
2026-6-9,法國,比利時,2,0,2:00,-0.25,-0.5,1:00,主队,1.7402152717564907,1.6282459795303634,0.9380592575701856,0.9758721148433204,1.6561551582590743,1.6175553771093276,0.9341853251912644,0.992608805864282,950784026eaa66644ae93a2a25e4e2c5
2026-6-9,威爾斯,北愛爾蘭,1,1,1:01,-0.25,-0.5,1:00,客队,1.6796334945972915,1.5581501121154089,1.0303199281520066,0.9843091243481216,1.695864199669574,1.5394015595999864,1.0130385897780232,0.9631816227753258,56696fdd7e918e749199d904f96c7efb
2026-6-9,意大利,北愛爾蘭,2,0,2:00,-1.0,-1.75,2:00,主队,2.112678937666059,2.260324598332578,0.6087827762478714,0.4803476136396219,2.1376928380090523,2.2608309944023954,0.5949106212219846,0.4704761864653922,9f602f4a144e7ac9a957c8e7d6e8dc9a
2026-6-9,斯洛伐克,北愛爾蘭,1,0,1:00,-0.25,-0.25,1:00,主队,1.4060285807406594,1.190126024192961,0.9077684165364058,0.8844355238267604,1.449274036765228,1.1791642616980966,0.8737494701570155,0.8437650087440216,b78b0f62b6968d06b4d222de1e2375e4
2026-6-9,德國,北愛爾蘭,3,1,3:01,-1.0,-1.75,2:00,主队,2.949834854063101,2.623139785075968,0.3750500003736827,0.7025055445269984,2.8224477017283736,2.657586059645813,0.4230784807722639,0.7095513465922998,c6c88a4eca4b70b26c7bd8fec666a349
2026-6-9,盧森堡,北愛爾蘭,1,3,1:03,0.25,0.25,0:01,客队,0.9127336936905928,0.8440519148331256,1.286571626900558,1.116640737009611,0.9414966258983322,0.8269901579327427,1.150171892083536,1.1186999814565268,5dead9df744cb4e4052aa8b1b7aba494
2026-6-9,法國,北愛爾蘭,3,1,3:01,-1.25,-2.75,2:00,主队,2.743662068683117,3.0566611266671218,0.4856892701720262,0.3555457526327953,2.7072771726743747,3.0895040214786693,0.4879869157077002,0.3029743262648528,b24da4965e7522bf135985de27beaa24
